"Name","Short description","Description","SKU","Regular price","Categories","EAN","Stock","Status","Tax status"
"ESP32 vývojová doska pre smart home prototypy","ESP32 vývojová doska je základ pre prototypovanie IoT a smart home projektov. Hodí sa pre používateľov, ktorí chcú testovať senzory, relé moduly a bezdrôtové automatizácie v bezpečnom nízkonapäťovom prostredí. Konkrétnu verziu dosky a jej parametre treba potvrdiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Je vhodná ako univerzálny štartovací prvok pre prototypy, meranie a vlastné automatizácie. Produkt je pripravený ako testovací CSV záznam bez tvrdenia o konkrétnej verzii čipu alebo dosky.</p><h2>Využitie v praxi</h2><p>Prototypovanie senzorových uzlov, testovanie vstupov a výstupov, výučba základov mikrokontrolérov a príprava smart home scenárov.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže slúžiť ako riadiaca doska pre senzory, LED indikáciu alebo nízkonapäťové moduly. Home Assistant kontext je vhodný až po overení firmvéru a konkrétnej konfigurácie.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Bezpečný senzorový uzol na stole</strong> – zákazník si pripraví nízkonapäťový test s ESP32, USB káblom, kontaktným poľom a jedným senzorom bez zásahu do elektroinštalácie.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>USB kábel pre vývojové dosky, Dupont vodiče, nepájivé kontaktné pole, DHT senzor alebo DS18B20, začiatočnícky ESP32 smart home kit.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>ESP32 vývojová doska</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-ESP-0001","8.99","Vývojové dosky","2998000000011","0","draft","taxable"
"ESP8266 vývojová doska pre jednoduché Wi-Fi projekty","ESP8266 vývojová doska je vhodná na jednoduché Wi-Fi prototypy a výučbu práce s mikrokontrolérmi. Použiť ju možno pri senzoroch, indikácii alebo ľahkých automatizačných scenároch. Konkrétnu dosku, napájanie a pinout treba overiť pred importom.","<h2>Prečo si vybrať tento produkt</h2><p>Ponúka jednoduchý vstup do Wi-Fi projektov bez nutnosti začínať veľkou zostavou. V testovacom CSV je zaradená ako draft, kým sa nepotvrdí presný model a technické údaje.</p><h2>Využitie v praxi</h2><p>Jednoduché meranie, odosielanie údajov cez Wi-Fi, testovanie senzorov a vytváranie malých domácich prototypov.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže obslúžiť jeden alebo viac jednoduchých vstupov podľa konkrétnej dosky. Integráciu do Home Assistant treba overiť podľa firmvéru a dostupných pinov.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Mini Wi-Fi teplomer</strong> – vývojová doska ESP8266 sa spojí s teplotným senzorom v nízkonapäťovej zostave na stole.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>USB kábel, Dupont vodiče, DHT alebo DS18B20 senzor, kontaktné pole.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>ESP8266 vývojová doska</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-ESP-0002","5.99","Vývojové dosky","2998000000028","0","draft","taxable"
"USB kábel pre ESP32 a ESP8266 vývojové dosky","USB kábel slúži na napájanie a pripojenie vývojových dosiek k počítaču. Je praktickým doplnkom pri nahrávaní firmvéru, testovaní a prototypovaní. Typ konektora, dátová podpora a dĺžka kábla treba overiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Bez vhodného USB kábla nie je možné pohodlne napájať alebo konfigurovať mnohé vývojové dosky. Produkt je pripravený bez tvrdenia o konkrétnom konektore alebo rýchlosti prenosu.</p><h2>Využitie v praxi</h2><p>Pripojenie dosky k počítaču, napájanie počas testovania, nahrávanie firmvéru a servis prototypov.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte plní podpornú úlohu pri konfigurácii a napájaní vývojovej dosky; nejde o samostatne kompatibilný Home Assistant produkt.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Prvé pripojenie vývojovej dosky</strong> – zákazník použije kábel na bezpečné pripojenie ESP dosky k počítaču a overenie, či sa doska hlási v systéme.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>ESP32 alebo ESP8266 vývojová doska, kontaktné pole, Dupont vodiče.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>USB kábel</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-KAB-0003","2.99","Elektronika","2998000000035","0","draft","taxable"
"Dupont vodiče samec-samec pre prototypovanie","Dupont vodiče samec-samec sú základné prepojovacie vodiče pre nepájivé kontaktné polia a vývojové dosky. Sú vhodné na rýchle testovanie nízkonapäťových zapojení. Dĺžku, počet kusov a farebnosť treba potvrdiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Umožňujú rýchlo meniť zapojenie bez spájkovania a sú praktické pri učení aj overovaní prototypov.</p><h2>Využitie v praxi</h2><p>Prepájanie kontaktného poľa, senzorov, modulov a pinov vývojových dosiek v nízkonapäťových projektoch.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte slúžia ako mechanické prepojenie medzi doskou a modulmi; nejde o samostatnú softvérovú kompatibilitu.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Rýchle zapojenie senzora na breadboarde</strong> – vodiče prepoja ESP dosku, kontaktné pole a senzor v dočasnom testovacom zapojení.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>Nepájivé kontaktné pole, ESP32 alebo ESP8266 doska, sada rezistorov.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>Dupont vodiče samec-samec</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-KAB-0004","3.99","Elektronika","2998000000042","0","draft","taxable"
"Dupont vodiče samec-samica pre moduly a senzory","Dupont vodiče samec-samica pomáhajú prepájať vývojové dosky, senzory a moduly s pinovými lištami. Sú vhodné pre dočasné nízkonapäťové prototypy. Dĺžku, počet kusov a prevedenie treba overiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Sú praktické tam, kde má modul pinovú lištu a kontaktné pole alebo doska vyžaduje odlišný typ prepojenia.</p><h2>Využitie v praxi</h2><p>Prepájanie senzorov, relé modulov, meničov a vývojových dosiek počas testovania.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte slúžia na fyzické prepojenie modulov, nie ako samostatná integračná súčasť Home Assistant.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Prepojenie modulu so senzorom</strong> – zákazník bezpečne prepojí nízkonapäťový senzor s ESP doskou a overí funkciu na stole.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>ESP doska, senzor, kontaktné pole, sada rezistorov.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>Dupont vodiče samec-samica</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-KAB-0005","3.99","Elektronika","2998000000059","0","draft","taxable"
"Nepájivé kontaktné pole pre elektronické prototypy","Nepájivé kontaktné pole umožňuje zostaviť prototyp bez spájkovania. Je vhodné pre začiatočníkov, výučbu aj rýchle testovanie senzorov a modulov. Veľkosť a rozloženie kontaktov treba overiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Znižuje bariéru pri učení elektroniky, pretože komponenty možno zapájať a meniť bez trvalého spájkovania.</p><h2>Využitie v praxi</h2><p>Prototypovanie obvodov, testovanie senzorov, zapájanie rezistorov a LED diód, príprava nízkonapäťových smart home ukážok.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte pomáha vytvoriť dočasné zapojenie okolo vývojovej dosky pred návrhom trvalejšej montáže.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Testovacia pracovná plocha pre ESP32</strong> – ESP doska, vodiče, rezistor a LED sa zapoja do kontaktného poľa na overenie základných vstupov a výstupov.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>Dupont vodiče samec-samec, sada rezistorov, sada LED diód, ESP32 doska.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>Nepájivé kontaktné pole</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-ELK-0006","4.99","Elektronika","2998000000066","0","draft","taxable"
"DHT22 / DHT11 teplotný a vlhkostný senzor pre ESP projekty","DHT22 alebo DHT11 senzor slúži na meranie teploty a vlhkosti v jednoduchých projektoch. Je vhodný pre výučbu, prototypovanie a orientačné smart home merania. Presný variant, presnosť a napájanie treba overiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Je častou voľbou pre prvé meracie projekty, pretože kombinuje teplotu a vlhkosť v jednom module. Bez overenia variantu nie je vhodné uvádzať presnosť ani rozsah.</p><h2>Využitie v praxi</h2><p>Orientačné meranie miestnosti, výučba senzoriky, testovanie odosielania údajov a príprava jednoduchého smart home dashboardu.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže posielať merané údaje do zvoleného firmvéru alebo systému po overení knižnice a zapojenia.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Izbový merač teploty a vlhkosti</strong> – ESP doska načíta hodnoty zo senzora v nízkonapäťovej zostave a zobrazí ich v testovacom rozhraní.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>ESP32 alebo ESP8266 doska, Dupont vodiče, kontaktné pole, USB kábel.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>Teplotný a vlhkostný senzor DHT22 alebo DHT11</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-SEN-0007","4.99","Senzory","2998000000073","0","draft","taxable"
"DS18B20 teplotný senzor pre meranie v ESP projekte","DS18B20 je teplotný senzor vhodný pre projekty, kde zákazník potrebuje samostatné meranie teploty. Môže byť použitý pri prototypoch a výučbe senzoriky. Konkrétne prevedenie, rozsah, presnosť a vodotesnosť treba overiť podľa dodávky.","<h2>Prečo si vybrať tento produkt</h2><p>Je praktický pre jednoduché teplotné merania, no pred predajom treba potvrdiť presné prevedenie a elektrické parametre.</p><h2>Využitie v praxi</h2><p>Meranie teploty v modelovom projekte, porovnávanie senzorov, výučba digitálnej senzoriky.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže tvoriť teplotný vstup po overení zapojenia, potrebného príslušenstva a firmvérovej podpory.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Teplotný bod pre smart home dashboard</strong> – senzor sa pripojí k ESP doske v bezpečnom nízkonapäťovom zapojení a údaje sa použijú na testovací dashboard.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>ESP doska, Dupont vodiče, rezistor podľa overeného zapojenia, kontaktné pole.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>Teplotný senzor DS18B20</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-SEN-0008","3.99","Senzory","2998000000080","0","draft","taxable"
"PIR senzor pohybu pre nízkonapäťové smart home projekty","PIR senzor slúži na detekciu pohybu v modelových nízkonapäťových projektoch. Je vhodný pre testovanie automatizácií, indikácie a logiky prítomnosti. Napájanie, dosah a nastavenia treba overiť podľa konkrétneho modulu.","<h2>Prečo si vybrať tento produkt</h2><p>Pomáha vysvetliť princíp detekcie pohybu bez zásahu do elektroinštalácie. Parametre sa líšia podľa modulu, preto sú v CSV ponechané ako otvorené body.</p><h2>Využitie v praxi</h2><p>Modelová detekcia pohybu, testovanie LED indikácie, výučba vstupov mikrokontroléra a návrh automatizačnej logiky.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže slúžiť ako vstup pre nízkonapäťovú indikáciu alebo testovaciu automatizáciu po overení logických úrovní.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Pohybom spustená LED indikácia</strong> – PIR senzor vyšle signál ESP doske a tá zapne LED diódu v nízkonapäťovom modelovom zapojení.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>ESP doska, sada LED diód, rezistory, Dupont vodiče, kontaktné pole.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>PIR senzor pohybu</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-SEN-0009","4.99","Senzory","2998000000097","0","draft","taxable"
"LDR svetelný senzor pre meranie intenzity osvetlenia","LDR svetelný senzor je komponent na orientačné snímanie svetla v elektronických projektoch. Hodí sa na výučbu analógového merania a jednoduché reakcie na svetlo. Presný typ, odporový rozsah a potrebné zapojenie treba overiť.","<h2>Prečo si vybrať tento produkt</h2><p>Je jednoduchý a názorný prvok pre pochopenie zmeny elektrickej hodnoty podľa osvetlenia.</p><h2>Využitie v praxi</h2><p>Testovanie svetelných prahov, zapínanie LED podľa svetla, výučba deliča napätia a prototypovanie jednoduchých senzorov.</p><h2>Použitie v ESP / smart home projekte</h2><p>V ESP projekte môže byť použitý ako vstup pre orientačné meranie svetla po overení vhodného zapojenia a analógového vstupu.</p><h2>Kompatibilita</h2><p>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</p><h2>Modelový príklad použitia</h2><p><strong>Svetelný prah pre LED indikátor</strong> – LDR spolu s rezistorom vytvorí modelový vstup a ESP doska podľa hodnoty zmení LED indikáciu.</p><p>Modelový príklad je určený na učenie a prototypovanie; nejde o certifikované hotové riešenie.</p><h2>Odporúčané príslušenstvo</h2><p>Sada rezistorov, ESP doska s vhodným vstupom, Dupont vodiče, kontaktné pole.</p><h2>Technické parametre</h2><table><tbody><tr><th>Parameter</th><th>Hodnota</th></tr><tr><td>Typ produktu</td><td>LDR svetelný senzor</td></tr><tr><td>Napájanie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozhranie</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Rozmery</td><td>Otvorený bod: údaj treba overiť.</td></tr><tr><td>Kompatibilita</td><td>Otvorený bod: kompatibilitu s Home Assistant / ESPHome / ESPBuild je potrebné overiť podľa konkrétnej konfigurácie.</td></tr></tbody></table><h2>Obsah balenia</h2><p>Obsah balenia je potrebné potvrdiť podľa dodávky.</p><h2>Bezpečnostné odporúčania</h2><p>Pracujte iba v bezpečnom nízkonapäťovom zapojení, dodržte správnu polaritu a pred pripojením napájania skontrolujte zapojenie. Modelový projekt nie je certifikované riešenie.</p><h2>Záruka a vrátenie</h2><p>Na produkt sa vzťahuje záruka 24 mesiacov. Pri nákupe cez e-shop má zákazník právo odstúpiť od zmluvy do 14 dní podľa platných podmienok predaja.</p>","KOM-SEN-0010","1.99","Senzory","2998000000103","0","draft","taxable"
